"UNIT CODE","UNIT NAME","ORGAN CODE","ORGAN NAME","SUPERIOR ORGAN CODE","SUPERIOR ORGAN NAME"
974,CAMPUS PECÉM/IFCE                            ,26405,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARÁ       ",26000,MINISTERIO DA EDUCACAO                       
1199,EPE - CONSELHOS                              ,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
1404,EPE - SUP PETRÓLEO E GÁS NATURAL             ,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
1405,EPE - SUP DERIVADOS PETRÓLEO E BIOCOMBUSTÍVEI,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
15873,INST FED.DE EDUC. CIENC.E.TEC.DA PARAIBA     ,c,"INST.FED.DE EDUC.,CIENC.E TEC. DA PARAIBA    ",26000,MINISTERIO DA EDUCACAO                       
110328,CNEN/UAOC - DIVISÃO DE RADIOPROTEÇÃO         ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110335,CNEN/UAOC - LABORATÓRIO REJEITOS RADIOATIVOS ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110336,CNEN/UAOC - CENTRO DE BIOTECNOLOGIA          ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
120102,CONSULTORIA JURIDICA DO MIN.DA AERONAUTICA   ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120103,CENTRO DE COMUN.SOCIAL DO MIN.DA AERONAUTICA ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120104,SEXTO SERVICO REGIONAL DE AVIACAO CIVIL      ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120105,CENTRO DE COMPUTACAO DA AERON. DE BRASILIA   ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120106,CENTRO DE INVESTIG.E PREV.DE ACIDENTE AER    ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120107,COMANDO GERAL DO AR                          ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120109,COMISSAO DE PROMOCOES DE OFICIAIS DA AERONAUT,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120110,DEPART.DE CIÊNCIA E TECNOLOGIA AEROESPACIAL  ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120111,ESTADO-MAIOR DA AERONAUTICA                  ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120112,ODONTOCLINICA DE AERONAUTICA DE BRASILIA     ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120113,SECRETARIA DE INTELIGENCIA DA AERONAUTICA    ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120114,SEXTA FORCA AEREA                            ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120115,NUCLEO DO CMDO.DE DEFESA AEROESP.BRASILEIRO  ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120116,CENTRO DE LANCAMENTO DE ALCANTARA            ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120117,SEGUNDO SERVICO REGIONAL DE AVIACAO CIVIL    ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120118,ODONTOCLINICA DE AERONAUTICA DE RECIFE       ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120119,COMANDO AEROTATICO                           ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120120,SEGUNDA FORCA AEREA                          ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
