"UNIT CODE","UNIT NAME","ORGAN CODE","ORGAN NAME","SUPERIOR ORGAN CODE","SUPERIOR ORGAN NAME"
974,CAMPUS PECÉM/IFCE                            ,26405,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARÁ       ",26000,MINISTERIO DA EDUCACAO                       
1199,EPE - CONSELHOS                              ,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
1404,EPE - SUP PETRÓLEO E GÁS NATURAL             ,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
1405,EPE - SUP DERIVADOS PETRÓLEO E BIOCOMBUSTÍVEI,32314,EMPRESA DE PESQUISA ENERGéTICA               ,32000,MINISTERIO DE MINAS E ENERGIA                
15873,INST FED.DE EDUC. CIENC.E.TEC.DA PARAIBA     ,c,"INST.FED.DE EDUC.,CIENC.E TEC. DA PARAIBA    ",26000,MINISTERIO DA EDUCACAO                       
110328,CNEN/UAOC - DIVISÃO DE RADIOPROTEÇÃO         ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110335,CNEN/UAOC - LABORATÓRIO REJEITOS RADIOATIVOS ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110336,CNEN/UAOC - CENTRO DE BIOTECNOLOGIA          ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
120102,CONSULTORIA JURIDICA DO MIN.DA AERONAUTICA   ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120128,CENTRO DE COMPUTACAO DA AERONAUTICA DO RJ    ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120129,CENTRO DE MEDICINA AEROESPACIAL              ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120130,COMANDO GERAL DE APOIO                       ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120131,COMANDO GERAL DE PESSOAL                     ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120132,DEPARTAMENTO DE ENSINO DA AERONAUTICA        ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120133,DIRETORIA DE INTENDENCIA DA AERONAUTICA      ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120134,INSTITUTO DE PSICOLOGIA DA AERONAUTICA       ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120135,SERVICO GERAL DE CORRESPONDENCIA E ARQUIVO   ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
110337,CNEN/UAOC - CENTRO DO REATOR DE PESQUISA     ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110339,CNEN/UAOC - CENTRO CIEN TECNOL DOS MATERIAIS ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110340,CNEN/UAOC - CENTRO DO COMBUSTÍVEL NUCLEAR    ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
110341,CNEN/UAOC - CENTRO DE QUÍMICA E MEIO AMB     ,52000,MINISTERIO DEFESA                            ,52000,MINISTERIO DEFESA                            
120136,DIRETORIA DE ADMINISTRACAO DO PESSOAL        ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120137,COMISSAO DE DESPORTOS DA AERONAUTICA         ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120138,MUSEU AEROESPACIAL                           ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120139,QUARTO SERVICO REGIONAL DE AVIACAO CIVIL     ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
120140,INSTITUTO TECNOLOGICO DA AERONAUTICA         ,52111,COMANDO DA AERONAUTICA                       ,52000,MINISTERIO DEFESA                            
